store_id,company_name,store_name,ubereats_status,doordash_status,grubhub_status,pipeline_stage,onboarding_status
30eccefd-545f-424b-a7f5-ee41af011c27,Mercaso,Mercaso (3130 w 8th St),ID Present,Missing,,Pending Launch,In progress
ab8c6eb7-27f8-4b47-9aa6-fca151e1487f,Mercaso,Mercaso (515 East Manchester Boulevard),ID Present,Missing,,Pending Launch,In progress
09282e02-df5f-4f07-8006-fa1d5035cc0d,Mercaso,Mercaso (7522 W Cerritos Ave),ID Present,ID Present,,Pending Launch,In progress
c5d81208-55d2-4c8f-afbd-2258db772d9a,Minuteman Food Mart,Minuteman Food Mart - 204,ID Present,ID Present,ID Present,Pending Launch,In progress
f9ae0673-2b20-4f8f-ab78-1c26aeedb53e,Minuteman Food Mart,Minuteman Food Mart - 3116,ID Present,ID Present,ID Present,Pending Launch,In progress
581049d5-b08d-40ca-aff1-cdc19c586c22,Minuteman Food Mart,Minuteman Food Mart - 3118,ID Present,ID Present,ID Present,Pending Launch,In progress
790a963b-1d2b-40c1-b75a-29b1b7912935,Minuteman Food Mart,Minuteman Food Mart - 3145,ID Present,ID Present,ID Present,Pending Launch,In progress
105046e1-9d28-4a86-9e78-e83e7bf1ed54,Minuteman Food Mart,Minuteman Food Mart - 3158,ID Present,ID Present,ID Present,Pending Launch,In progress
72656602-e5c4-4810-accb-0768b033cbeb,Quick Track - LaMa,Quick Track 79,ID Present,Missing,,Pending Launch,In progress
ba21e9bd-ec39-4a59-9e7b-b1d306d50743,Jacksons Food Stores,Redwood Market #285,ID Present,ID Present,ID Present,Pending Launch,In progress
cdf40058-f486-4d63-a86e-2dbc181a7a43,Jacksons Food Stores,Redwood Market #294,ID Present,ID Present,ID Present,Pending Launch,In progress
f7847b58-5418-4dd5-ae09-077f9d99470c,"Gawfco Enterprises, Inc.",Seaside 76 (1600 Fremont Blvd),ID Present,ID Present,ID Present,Pending Launch,In progress
5c4cb3b7-277b-4a90-86da-9390650b46e2,Gilligan Oil Services Co,Shell - 10809 Montgomery Rd,ID Present,Missing,,Pending Launch,In progress
431f2c4d-43c6-4c88-b751-24be5b64df5a,Gilligan Oil Services Co,Shell - 1866 Summit St,ID Present,Missing,,Pending Launch,In progress
a95a4e0b-ca34-405b-b7c6-61a59437df25,Gilligan Oil Services Co,Shell - 2187 Neil Ave,ID Present,Missing,,Pending Launch,In progress
9e3abf2c-752b-4121-907c-1659e75856f8,Gilligan Oil Services Co,Shell - 5301 Ridge Ave,ID Present,Missing,,Pending Launch,In progress
d07293af-d64b-496a-b736-b1e989857f4d,Gilligan Oil Services Co,Shell - 8051 Montgomery Rd,ID Present,Missing,,Pending Launch,In progress
7d5e5623-53e7-4e41-8716-a19cab665443,Gilligan Oil Services Co,Shell - 8267 Princeton Glendale Rd,ID Present,Missing,,Pending Launch,In progress
5873ba7d-fdc1-4cc3-850c-cfedd008581d,Gilligan Oil Services Co,Shell - 9188 Plainfield Rd,ID Present,Missing,,Pending Launch,In progress
8fa58dbb-c8c7-424c-8db9-e2a537bd6e1a,Gilligan Oil Services Co,Shell - 9370 Union Centre Blvd,ID Present,Missing,,Pending Launch,In progress
f4222239-8ab0-45ab-9579-d1eea5d3bdd1,Star Stop,Star Stop 115,ID Present,Missing,,Pending Launch,In progress
de09cfd1-e68a-4cca-9619-f1b3917d8d62,Star Stop,Star Stop 21,ID Present,Missing,,Pending Launch,In progress
d3f66fe2-1847-4ed6-8a37-5961539212d8,Star Stop,Star Stop 23,ID Present,Missing,,Pending Launch,In progress
849cbfb5-e0fd-45bf-b7b3-aa20bb705489,Star Stop,Star Stop 25,ID Present,Missing,,Pending Launch,In progress
89cfc4e3-c6ac-4e12-9e9d-8492952e4432,Star Stop,Star Stop 27,ID Present,Missing,,Pending Launch,In progress
3087abbf-5f8e-4cfb-9f32-109d32db662c,Star Stop,Star Stop 28,ID Present,Missing,,Pending Launch,In progress
298bea10-a28d-40a1-96b1-12dd3166a027,Star Stop,Star Stop 31,ID Present,Missing,,Pending Launch,In progress
ad58837a-3a70-4119-bf3c-897113ea181b,Star Stop,Star Stop 33,ID Present,Missing,,Pending Launch,In progress
a73dc92f-21bd-405f-a40a-b999aa7626b8,Star Stop,Star Stop 34,ID Present,Missing,,Pending Launch,In progress
9bf5fbec-1c93-4c87-8cc7-c54ca148f968,Star Stop,Star Stop 36,ID Present,Missing,,Pending Launch,In progress
7788ba3a-3787-4a36-b5f8-7cf90ccb8957,Star Stop,Star Stop 37,ID Present,Missing,,Pending Launch,In progress
378f91b4-c1e5-4ebf-907d-f591f3d90dfc,Star Stop,Star Stop 38,ID Present,Missing,,Pending Launch,In progress
572bb78a-3672-4108-bd37-26332e54f4b8,Star Stop,Star Stop 39,ID Present,Missing,,Pending Launch,In progress
ceb5c317-6c85-48cd-a4f4-95a2aef8c7ca,Star Stop,Star Stop 40,ID Present,Missing,,Pending Launch,In progress
07cad82f-fcf7-4d00-af5d-6bd7bc3191bf,Star Stop,Star Stop 41,ID Present,Missing,,Pending Launch,In progress
cd94f39a-53b3-4ae8-9488-4330be066d35,Star Stop,Star Stop 42,ID Present,Missing,,Pending Launch,In progress
0aa39ce3-b967-418b-937a-b238d948b408,Star Stop,Star Stop 44,ID Present,Missing,,Pending Launch,In progress
bbd71d3e-2b4a-4535-9341-c99092a706ea,Star Stop,Star Stop 45,ID Present,Missing,,Pending Launch,In progress
9192a3ff-20a8-412b-89ef-e1f088efd692,Star Stop,Star Stop 47,ID Present,Missing,,Pending Launch,In progress
1d7f5b5c-5f6c-4c38-9125-690198253dcb,Star Stop,Star Stop 50,ID Present,Missing,,Pending Launch,In progress
1924b7bf-6ce4-4cab-be6c-f256b84493da,Star Stop,Star Stop 52,ID Present,Missing,,Pending Launch,In progress
4e789d08-bc1e-436d-b2be-b112059e1ba9,Star Stop,Star Stop 53,ID Present,Missing,,Pending Launch,In progress
9a6192d6-10b3-41d4-bc21-d83aa7e32c53,Star Stop,Star Stop 54,ID Present,Missing,,Pending Launch,In progress
06d3566f-6501-4e91-bd49-85a6c3f83d9b,Star Stop,Star Stop 57,ID Present,Missing,,Pending Launch,In progress
b5bd8b17-ed92-45c1-b6bc-740b679724cf,Star Stop,Star Stop 59,ID Present,Missing,,Pending Launch,In progress
6adcd816-93ae-442a-91cc-5fbdd06c92d9,Star Stop,Star Stop 60,ID Present,ID Present,,Pending Launch,In progress
b69d87dd-9751-4c2b-bf62-34e152657b37,Center Independent Energy LP (Sweet Pea's),Sweet Peas #30,ID Present,ID Present,ID Present,Pending Launch,In progress
37bf7f7e-a561-4c57-950f-93e14a2068f9,Rocket,Taco Express,ID Present,ID Present,ID Present,Pending Launch,In progress
36f81154-9c70-471c-85c7-cb5a2157a5e0,Rocket,Taqueria Las Virgenes,ID Present,ID Present,ID Present,Pending Launch,In progress
71359bac-9dd3-4710-8ae9-e37315f5f918,Heritage Co,The Green Top by Heritage Co (US-259),3041bd00-fc34-5172-8b5c-f8511d98a2d9,ID Present,,Pending Launch,In progress
09505eca-76ad-4ffe-93fb-be3b26846f2a,"Gawfco Enterprises, Inc.",Trimble 76 (2591 Seaboard Ave),ID Present,ID Present,ID Present,Pending Launch,In progress
f33f29c9-f2db-40a5-b2ff-8184a9c587af,Fast Track,[DUP] Fast Track (1120 Churn Creek Rd),a5558854-aa05-5766-80fd-69b903c23ab7,ID Present,13668200,Pending Launch,In progress
