Store ID,store_name,DSP ID,DSP Name
8fa3fb56-baf8-4b57-b6ee-47650f8ec82a,Circle K (6201 Colonel Glenn Rd),a1a5eeb2-5e8a-55aa-ae5c-d8a385fefa80,UberEats
a9047e06-75ee-4452-bd6b-5d220d9ebee0,Kangaroo Express (38507 Louisiana 30 W),f2ff7264-a708-5069-8006-03514724181f,UberEats
61049828-c82d-4d90-a8ff-60f776a02cb3,Circle K (10200 N Rodney Parham Rd),a75fbcce-2f1f-5a28-b9e6-561c59f1fc8e,UberEats
c0e6d5b0-e112-4797-a699-967949b2b8e9,Kangaroo Express (642 Belle Terre Blvd),01bd6895-9a34-56c8-8a14-26d45eec8e14,UberEats
ab2ba426-17c4-4c09-9a97-a8ab8177c3b0,Circle K (700 E Broadway St),9e2cc7c0-507c-58b8-8d7d-105f58f0c8c8,UberEats
0cf37fbd-45d5-4279-ac09-06131ef235cc,Kangaroo Express (8967 Jefferson Hwy),0e437fcf-c75d-5cdb-aaf9-b41dd9c42a8e,UberEats
96a5bf33-4d22-41da-a597-f6efada21d7f,Circle K (4601 Northshore Dr),b8f7ab1c-9e90-5d8e-857e-50d057b95d6b,UberEats
8475468c-06d4-4b20-96b6-33fdbbdfe9ba,Circle K (10321 Colonel Glenn Rd),ad3c3488-8434-5221-8a67-222327055ebf,UberEats
2f2efad8-5fd3-43ae-b8bf-00eccc25acc3,Kangaroo Express (1717 Gerstner Memorial Dr),cf57a38a-e677-54d1-8a3b-36a1338c71f7,UberEats
43ab61c4-1f46-4ab7-a70e-e99e85ffa6f5,Circle K (3320 John F Kennedy Blvd),d4ab5580-24b2-522c-8320-cad5ea8c58cb,UberEats
17ce6902-c500-429e-b2b3-3eabe4186bb9,Kangaroo Express (1119 E McNeese St),3fc13bcf-7305-5cc2-afe8-045412463cbd,UberEats
3545920a-6428-4cb1-a737-c902e6999ffe,Circle K (118 Country Club Rd),f50be283-18a3-5752-ba06-7ca413b3aeb5,UberEats
a9d1b4a0-0a07-4c49-829a-376a85dace0c,Kangaroo Express (11720 Plank Rd),856055d2-2c39-5cbf-9207-9a24fa83b498,UberEats
4fc49ba0-c82a-437b-9466-626f74551ea2,Circle K (9324 AR-107),fdfea48f-d168-51f1-8c92-1a0332bf3bba,UberEats
db5a80e6-8fd0-4072-9345-b935d3a3d60a,Circle K (1220 AR-35),c9cf6700-0a82-5385-bec1-8bf30941e056,UberEats
f4b38bde-fdfb-4e3e-816a-01e3cdaf695f,Kangaroo Express (6224 Plank Rd),a61ee1d4-6e2f-5f56-85a8-8e5d67935e0c,UberEats
09a19ab3-ffe2-4642-b6b3-a569f67c3e8f,Kangaroo Express(3636 N Sherwood Forest Dr),92cb7bf2-017d-5f89-b367-6e5c93af2b74,UberEats
fd62ad56-1690-48f8-a0c3-7f5f2f8e404d,Circle K (5051 Warden Rd),ee6cd24a-3865-513f-be57-326fa4b44cbc,UberEats
093ecfe3-c62d-47ff-afe7-d802fff75eef,Kangaroo Express (6404 Hooper Rd),5696a269-79aa-5421-8ce4-e86aca40df52,UberEats
9e8be3aa-2fc5-4869-8266-7a21046b9e79,Kangaroo Express (6103 Florida Blvd),c8b5a364-8a12-5305-83ed-0f780ea5430b,UberEats
b33c2540-4a13-4e4e-89e5-353af8f3e5f5,Circle K (17150 N Alexander Rd),4191e3ca-25e0-5825-a84e-f343b37c0220,UberEats
067defc7-0d62-4a31-877f-bf0e7038862c,Kangaroo Express (12390 Scotland Ave),c3f9127e-ef0d-505f-8df4-0cf3d242a356,UberEats
f99ebaa4-5507-4add-86d2-75d685b58929,Circle K (6420 S University Ave),d2c56d61-8d79-5dd4-92bf-f4223c84a2c0,UberEats
c04f7b7a-c5c1-4899-9d38-05e34dd886ab,Circle K (4300 E Broadway St),cb64a80b-f20f-5a94-9870-78460e6501d5,UberEats
77a8c4a4-cefb-45dc-aee0-a29856b4e38e,Circle K (2200 W Point Pkwy),fa6b4ca1-f7c0-53b2-9ef6-19a163501519,UberEats
7d109b7b-09ef-41ee-a743-51aade0d9658,Circle K (11819 Colonel Glenn Rd),a26a5544-9616-53d0-bc55-0fd06eb8a658,UberEats
2898621f-5422-420e-9aa9-0938fed22c0b,Circle K (109 N Chester St),0ee0640d-06a2-5bdd-bcc3-cae35f172360,UberEats
6adc03cf-b0d9-4520-8bfe-02e85d063c3c,Circle K (1600 Pike Ave),09a21cdd-7ed9-5ca0-a1c5-5a83e2ce1c49,UberEats
64ee11ba-c391-42a9-b295-b281bcd00c32,Circle K (5615 Lindsey Rd),50f89655-a166-5133-809f-67998e4b1e69,UberEats
bf998da9-b158-483e-824b-8b17dd838a29,Circle K (11921 Kanis Rd),191da83b-7d89-5896-a320-5ee18ce2c70e,UberEats
c53fcb25-8c72-4dac-9176-73839f1f526b,Circle K (4315 N Crossover Rd),cf0765e1-cf2f-5253-822a-1cb3725d3827,UberEats
cb6fff8a-e7d1-4a98-9171-9cfd7415da26,Circle K (2808 W Huntsville Ave),d01a2168-1936-5f7d-a657-0f5e0d21de31,UberEats
0f83def0-990d-4ee4-b5c5-3636a4089516,Kangaroo Express (1684 S College St),e5c85277-30db-5102-898b-ae2ed1e2bbe5,UberEats
f1146846-25c8-4dfa-b8bd-0b64fe6aaf63,Circle K (758 W North St),f64103bd-d736-53fa-9cca-ba66e09b73d7,UberEats
395ab99b-5844-4516-9295-1de7e3b1688a,Circle K (2300 Whitesville Rd),879f69ee-8fab-58e7-81c3-9c80267ed7b2,UberEats
e0a9be8f-6b36-4db3-9cc7-83e755178954,Circle K (6658 AL-46),b138f33c-a71b-5f65-afe8-8e95b5ebc14c,UberEats
5f70660e-d167-463a-b54e-a740ffc25423,Circle K (3301 SW 2nd St),2908754b-6053-571c-9777-5ce6f75cd3bc,UberEats
20e6e128-7985-4dbd-a141-bb67313a11da,Circle K (1307 Federal Dr),40db023a-69ab-502f-b876-735f6af4a41f,UberEats
ed2c721c-a0c5-4024-9020-11f8afa9e424,Circle K (621 N Eastern Blvd),1472778d-385e-5976-8715-e9f97091d50d,UberEats
4cf29cb3-c102-4edc-8756-a2338c997b6f,Circle K (3991 Johnson Mill Blvd),44904738-964a-5cf1-81fc-db5895efd548,UberEats
